,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,
Crohn disease [regional enteritis] (K50),10,12,22,,7,15,22,,6,10,16,,11,18,29,,13,26,39,,6,11,17,,13,23,36,,12,19,31,,12,23,35,,10,25,35,,7,20,27
Ulcerative colitis (K51),10,14,24,,6,11,17,,14,15,29,,16,11,27,,5,13,18,,12,11,23,,9,11,20,,10,15,25,,11,13,24,,10,18,28,,9,10,19
Other noninfective gastroenteritis and colitis (K52),72,115,187,,69,109,178,,72,105,177,,71,129,200,,56,108,164,,6,10,16,,5,12,17,,6,15,21,,6,14,20,,11,14,25,,5,15,20
Other diseases of intestines (K55-K64),560,895,"1,455",,558,844,"1,402",,579,959,"1,538",,614,953,"1,567",,625,963,"1,588",,656,981,"1,637",,626,956,"1,582",,636,1048,"1,684",,690,1039,"1,729",,706,1072,"1,778",,667,923,"1,590"
Vascular disorders of intestine (K55),175,289,464,,197,286,483,,174,320,494,,197,333,530,,193,310,503,,199,298,497,,187,284,471,,182,291,473,,199,263,462,,169,293,462,,168,237,405
Paralytic ileus and intestinal obstruction without hernia (K56),200,313,513,,207,296,503,,226,329,555,,244,312,556,,234,363,597,,275,381,656,,249,388,637,,286,417,703,,290,436,726,,337,420,757,,311,382,693
Diverticular disease of intestine (K57),83,161,244,,76,141,217,,76,172,248,,82,163,245,,88,152,240,,79,170,249,,80,166,246,,78,205,283,,92,190,282,,80,196,276,,87,166,253
Irritable bowel syndrome (K58),1,2,3,,0,0,0,,0,1,1,,1,0,1,,0,1,1,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,0,0,0
Other functional intestinal disorders (K59),9,19,28,,5,5,10,,15,22,37,,12,10,22,,15,10,25,,8,12,20,,10,11,21,,13,9,22,,8,19,27,,8,16,24,,15,14,29
Fissure and fistula of anal and rectal regions (K60),0,2,2,,0,1,1,,1,0,1,,0,1,1,,2,0,2,,0,0,0,,1,0,1,,0,1,1,,0,0,0,,1,0,1,,2,0,2
Abscess of anal and rectal regions (K61),1,1,2,,2,3,5,,6,2,8,,5,3,8,,7,3,10,,5,2,7,,3,1,4,,1,0,1,,4,2,6,,7,4,11,,5,2,7
Other diseases of anus and rectum (K62),21,26,47,,15,35,50,,18,28,46,,19,34,53,,27,33,60,,19,26,45,,19,35,54,,19,24,43,,21,29,50,,23,23,46,,17,30,47
Other diseases of intestine (K63),70,82,152,,56,77,133,,63,85,148,,54,97,151,,59,90,149,,71,91,162,,75,70,145,,55,100,155,,75,100,175,,79,118,197,,62,92,154
Haemorrhoids and perianal venous thrombosis (K64),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,1,1,,2,1,3,,1,1,2,,0,0,0,,2,2,4,,0,0,0
Diseases of peritoneum (K65-K67),36,58,94,,40,49,89,,37,42,79,,52,41,93,,29,40,69,,38,34,72,,40,41,81,,32,48,80,,29,45,74,,41,28,69,,32,41,73
Peritonitis (K65),31,39,70,,30,37,67,,29,28,57,,43,32,75,,18,29,47,,28,20,48,,31,27,58,,18,37,55,,23,28,51,,28,18,46,,23,29,52
Other disorders of peritoneum (K66),5,19,24,,10,12,22,,8,14,22,,9,9,18,,11,11,22,,10,14,24,,9,14,23,,14,11,25,,6,17,23,,13,10,23,,9,12,21
Diseases of liver (K70-K77),"1,003",491,"1,494",,1053,503,"1,556",,"1,068",506,"1,574",,"1,099",495,"1,594",,"1,027",549,"1,576",,"1,190",583,"1,773",,"1,240",548,"1,788",,"1,223",610,"1,833",,"1,192",613,"1,805",,"1,286",628,"1,914",,"1,167",643,"1,810"
Alcoholic liver disease (K70),553,199,752,,547,206,753,,545,182,727,,530,207,737,,542,183,725,,626,193,819,,678,216,894,,629,249,878,,585,232,817,,670,225,895,,555,210,765
Toxic liver disease (K71),0,1,1,,3,1,4,,0,0,0,,0,0,0,,1,0,1,,1,2,3,,0,2,2,,3,2,5,,2,1,3,,2,2,4,,3,2,5
"Hepatic failure, not elsewhere classified (K72)",121,69,190,,123,65,188,,129,81,210,,145,72,217,,124,100,224,,144,83,227,,130,76,206,,126,69,195,,134,71,205,,146,75,221,,99,74,173
"Chronic hepatitis, not elsewhere classified (K73)",3,1,4,,5,0,5,,9,2,11,,2,5,7,,0,1,1,,1,2,3,,1,0,1,,1,0,1,,0,0,0,,3,0,3,,0,0,0
Fibrosis and cirrhosis of liver (K74),197,134,331,,230,107,337,,222,128,350,,252,106,358,,215,133,348,,258,174,432,,280,139,419,,282,166,448,,305,163,468,,299,181,480,,351,196,547
Other inflammatory liver diseases (K75),18,27,45,,14,39,53,,14,30,44,,26,32,58,,21,39,60,,41,46,87,,37,51,88,,54,51,105,,52,71,123,,42,66,108,,53,73,126
Other diseases of liver (K76),111,60,171,,131,85,216,,149,83,232,,144,73,217,,124,93,217,,119,83,202,,114,64,178,,128,73,201,,114,75,189,,124,79,203,,106,88,194
"Disorders of gallbladder, biliary tract and pancreas (K80-K87)",214,295,509,,282,347,629,,239,274,513,,245,320,565,,273,336,609,,295,361,656,,325,364,689,,287,346,633,,342,370,712,,321,384,705,,343,379,722
Cholelithiasis (K80),39,62,101,,42,55,97,,37,38,75,,37,56,93,,30,54,84,,27,56,83,,42,55,97,,30,51,81,,35,54,89,,32,54,86,,35,51,86
Cholecystitis (K81),50,64,114,,57,86,143,,34,68,102,,52,71,123,,57,71,128,,60,72,132,,85,66,151,,65,86,151,,93,90,183,,79,87,166,,74,105,179
Other diseases of gallbladder (K82),9,8,17,,6,13,19,,7,13,20,,14,10,24,,8,17,25,,12,22,34,,9,13,22,,12,8,20,,14,12,26,,14,8,22,,12,10,22
Other diseases of biliary tract (K83),42,65,107,,56,82,138,,49,55,104,,50,68,118,,52,82,134,,74,99,173,,62,103,165,,74,88,162,,81,90,171,,80,106,186,,84,96,180
Acute pancreatitis (K85),56,82,138,,93,98,191,,89,91,180,,76,92,168,,98,92,190,,94,97,191,,92,110,202,,87,95,182,,94,104,198,,92,101,193,,109,101,210
Other diseases of pancreas (K86),18,14,32,,28,13,41,,23,9,32,,16,23,39,,28,20,48,,28,15,43,,35,17,52,,19,18,37,,25,20,45,,24,28,52,,29,16,45
Other diseases of the digestive system (K90-K93),161,251,412,,170,239,409,,170,262,432,,176,238,414,,200,239,439,,237,282,519,,210,285,495,,212,288,500,,246,300,546,,231,302,533,,235,260,495
Intestinal malabsorption (K90),4,6,10,,5,6,11,,4,4,8,,2,5,7,,1,4,5,,5,12,17,,6,8,14,,9,4,13,,4,12,16,,8,10,18,,7,3,10
"Postprocedural disorders of digestive system, not elsewhere classified (K91)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other diseases of digestive system (K92),157,245,402,,165,233,398,,166,258,424,,174,233,407,,199,235,434,,232,270,502,,204,277,481,,203,284,487,,242,288,530,,223,292,515,,228,257,485
CHAPTER XII Diseases of the skin and subcutaneous tissue (L00-L99),182,222,404,,132,255,387,,149,247,396,,187,251,438,,155,259,414,,186,239,425,,201,286,487,,202,328,530,,224,313,537,,261,302,563,,241,315,556
Infections of the skin and subcutaneous tissue (L00-L08),118,136,254,,85,140,225,,97,149,246,,125,137,262,,95,158,253,,125,135,260,,136,173,309,,139,199,338,,147,196,343,,176,200,376,,162,185,347
Staphylococcal scalded skin syndrome (L00),0,0,0,,0,1,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0
Impetigo (L01),0,1,1,,0,0,0,,1,1,2,,0,0,0,,0,0,0,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0
"Cutaneous abscess, furuncle and carbuncle (L02)",10,8,18,,5,8,13,,9,6,15,,7,3,10,,4,10,14,,5,4,9,,5,9,14,,10,8,18,,7,9,16,,12,7,19,,6,13,19
Cellulitis (L03),94,112,206,,68,107,175,,70,112,182,,100,114,214,,72,127,199,,97,108,205,,111,144,255,,106,162,268,,119,154,273,,135,169,304,,134,143,277
Acute lymphadenitis (L04),0,0,0,,0,1,1,,0,0,0,,1,0,1,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Pilonidal cyst (L05),0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,1,2,,0,1,1,,0,1,1
Other local infections of skin and subcutaneous tissue (L08),14,15,29,,11,23,34,,17,30,47,,16,20,36,,18,20,38,,22,22,44,,20,20,40,,23,29,52,,20,32,52,,27,23,50,,22,28,50
Bullous disorders (L10-L14),4,4,8,,2,9,11,,2,8,10,,3,14,17,,3,7,10,,6,11,17,,10,5,15,,4,11,15,,10,12,22,,10,3,13,,8,8,16
Pemphigus (L10),3,2,5,,1,3,4,,2,3,5,,0,3,3,,1,2,3,,1,4,5,,1,0,1,,1,2,3,,5,3,8,,1,2,3,,0,1,1
Other acantholytic disorders (L11),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Pemphigoid (L12),1,2,3,,0,6,6,,0,4,4,,2,11,13,,2,5,7,,5,7,12,,9,5,14,,3,9,12,,5,9,14,,8,1,9,,8,6,14
Other bullous disorders (L13),0,0,0,,1,0,1,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1
Dermatitis and eczema (L20-L30),1,2,3,,0,0,0,,1,1,2,,1,3,4,,1,1,2,,4,2,6,,1,1,2,,1,2,3,,0,1,1,,0,2,2,,2,1,3
Atopic dermatitis (L20),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,0,0,0,,0,0,0
Seborrhoeic dermatitis (L21),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Diaper [napkin] dermatitis (L22),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Allergic contact dermatitis (L23),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Irritant contact dermatitis (L24),0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Unspecified contact dermatitis (L25),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Exfoliative dermatitis (L26),0,0,0,,0,0,0,,0,0,0,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,1,1
Dermatitis due to substances taken internally (L27),0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,2,,0,0,0,,0,1,1,,0,0,0,,0,1,1,,2,0,2
Lichen simplex chronicus and prurigo (L28),0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0
Pruritus (L29),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other dermatitis (L30),1,0,1,,0,0,0,,1,1,2,,1,1,2,,0,1,1,,3,1,4,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Papulosquamous disorders (L40-L45),4,1,5,,0,2,2,,1,1,2,,5,1,6,,3,5,8,,1,2,3,,2,2,4,,4,0,4,,0,1,1,,6,2,8,,3,2,5
Psoriasis (L40),4,1,5,,0,2,2,,1,1,2,,4,1,5,,3,5,8,,1,2,3,,2,2,4,,4,0,4,,0,1,1,,6,2,8,,3,1,4
Parapsoriasis (L41),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Pityriasis rosea (L42),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Lichen planus (L43),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1
Other papulosquamous disorders (L44),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Urticaria and erythema (L50-L54),3,2,5,,4,7,11,,1,1,2,,4,2,6,,3,6,9,,2,3,5,,2,1,3,,1,3,4,,3,3,6,,2,3,5,,2,3,5
Urticaria (L50),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Erythema multiforme (L51),3,2,5,,3,4,7,,0,0,0,,3,2,5,,2,4,6,,1,2,3,,1,1,2,,1,3,4,,3,3,6,,1,3,4,,2,1,3
Erythema nodosum (L52),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other erythematous conditions (L53),0,0,0,,1,3,4,,1,1,2,,1,0,1,,1,2,3,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,2,2
Radiation-related disorders of the skin and subcutaneous tissue (L55-L59),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Sunburn (L55),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other acute skin changes due to ultraviolet radiation (L56),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Skin changes due to chronic exposure to nonionizing radiation (L57),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Radiodermatitis (L58),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other disorders of skin and subcutaneous tissue related to radiation (L59),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Disorders of skin appendages (L60-L75),1,0,1,,0,0,0,,0,1,1,,1,1,2,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,1,2,,1,1,2,,1,0,1
Nail disorders (L60),0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,0,0,0
Alopecia areata (L63),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Androgenic alopecia (L64),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other nonscarring hair loss (L65),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Cicatricial alopecia [scarring hair loss] (L66),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Hair colour and hair shaft abnormalities (L67),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Hypertrichosis (L68),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Acne (L70),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Rosacea (L71),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Follicular cysts of skin and subcutaneous tissue (L72),0,0,0,,0,0,0,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0
Other follicular disorders (L73),1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,1,0,1
Eccrine sweat disorders (L74),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Apocrine sweat disorders (L75),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other disorders of the skin and subcutaneous tissue (L80-L99),51,77,128,,41,97,138,,47,86,133,,48,93,141,,50,82,132,,47,86,133,,50,104,154,,53,113,166,,63,99,162,,66,91,157,,63,116,179
Vitiligo (L80),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other disorders of pigmentation (L81),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Seborrhoeic keratosis (L82),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Acanthosis nigricans (L83),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Corns and callosities (L84),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other epidermal thickening (L85),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0
Transepidermal elimination disorders (L87),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Pyoderma gangrenosum (L88),2,1,3,,0,1,1,,3,1,4,,0,0,0,,2,2,4,,3,2,5,,2,1,3,,1,4,5,,1,4,5,,0,2,2,,0,1,1
Decubitus ulcer (L89),15,18,33,,9,20,29,,16,25,41,,13,18,31,,9,20,29,,8,18,26,,8,30,38,,8,20,28,,15,26,41,,11,32,43,,13,40,53
Atrophic disorders of skin (L90),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,2
Hypertrophic disorders of skin (L91),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Granulomatous disorders of skin and subcutaneous tissue (L92),0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,1,1,2
Lupus erythematosus (L93),0,1,1,,0,3,3,,0,2,2,,0,3,3,,1,2,3,,0,0,0,,0,0,0,,1,2,3,,3,3,6,,1,0,1,,0,0,0
Other localized connective tissue disorders (L94),0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,0,0,0,,0,0,0
"Vasculitis limited to skin, not elsewhere classified (L95)",1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0
"Ulcer of lower limb, not elsewhere classified (L97)",24,44,68,,18,52,70,,18,35,53,,27,49,76,,30,40,70,,27,43,70,,20,41,61,,27,49,76,,29,45,74,,37,33,70,,28,50,78
"Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98)",9,13,22,,14,21,35,,10,23,33,,8,22,30,,7,18,25,,9,23,32,,20,32,52,,15,37,52,,15,20,35,,15,23,38,,19,24,43
CHAPTER XIII Diseases of the musculoskeletal system and connective tissue (M00-M99),395,771,"1,166",,314,764,"1,078",,379,791,"1,170",,383,794,"1,177",,379,783,"1,162",,368,821,"1,189",,443,823,"1,266",,454,857,"1,311",,474,889,"1,363",,480,924,"1,404",,483,784,"1,267"
Arthropathies (M00-M25),155,259,414,,105,266,371,,142,278,420,,140,279,419,,125,270,395,,137,339,476,,158,328,486,,169,319,488,,185,330,515,,177,343,520,,184,260,444
Infectious arthropathies (M00-M03),44,30,74,,19,25,44,,36,29,65,,45,27,72,,38,37,75,,42,40,82,,45,48,93,,44,54,98,,52,41,93,,52,58,110,,64,46,110
Pyogenic arthritis (M00),44,30,74,,19,25,44,,36,29,65,,44,27,71,,38,37,75,,42,40,82,,45,48,93,,44,54,98,,52,41,93,,52,58,110,,64,46,110
Reactive arthropathies (M02),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Inflammatory polyarthropathies (M05-M14),75,163,238,,58,163,221,,78,162,240,,64,159,223,,57,146,203,,70,172,242,,83,175,258,,78,171,249,,100,185,285,,84,183,267,,84,147,231
Seropositive rheumatoid arthritis (M05),7,7,14,,1,9,10,,4,10,14,,5,10,15,,3,5,8,,8,8,16,,5,6,11,,4,10,14,,8,11,19,,8,11,19,,2,6,8
Other rheumatoid arthritis (M06),44,137,181,,41,136,177,,55,121,176,,45,123,168,,32,123,155,,42,138,180,,53,146,199,,43,140,183,,60,141,201,,57,144,201,,59,124,183
Juvenile arthritis (M08),0,0,0,,0,2,2,,1,3,4,,0,1,1,,0,2,2,,1,4,5,,1,0,1,,0,0,0,,0,1,1,,0,1,1,,0,1,1
Gout (M10),16,6,22,,12,8,20,,11,12,23,,8,10,18,,11,4,15,,15,9,24,,13,9,22,,25,5,30,,27,13,40,,13,8,21,,16,6,22
Other crystal arthropathies (M11),0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,2,3,5,,0,0,0,,0,1,1,,0,0,0
Other specific arthropathies (M12),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other arthritis (M13),8,12,20,,4,8,12,,7,16,23,,6,15,21,,11,12,23,,3,13,16,,10,14,24,,4,13,17,,5,19,24,,6,18,24,,7,10,17
Arthrosis (M15-M19),23,55,78,,20,69,89,,24,78,102,,24,83,107,,24,78,102,,23,118,141,,25,100,125,,43,89,132,,28,95,123,,32,94,126,,16,54,70
Polyarthrosis (M15),1,5,6,,1,5,6,,2,2,4,,1,6,7,,1,6,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Coxarthrosis [arthrosis of hip] (M16),2,1,3,,2,2,4,,1,2,3,,1,4,5,,2,6,8,,1,3,4,,1,3,4,,2,2,4,,1,1,2,,3,1,4,,1,3,4
Gonarthrosis [arthrosis of knee] (M17),2,1,3,,0,6,6,,0,1,1,,2,3,5,,3,3,6,,0,4,4,,0,0,0,,1,0,1,,0,1,1,,0,2,2,,0,1,1
Arthrosis of first carpometacarpal joint (M18),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other arthrosis (M19),18,48,66,,17,56,73,,21,73,94,,20,70,90,,18,63,81,,22,111,133,,24,97,121,,40,87,127,,27,93,120,,29,91,120,,15,50,65
Other joint disorders (M20-M25),13,11,24,,8,9,17,,4,9,13,,7,10,17,,6,9,15,,2,9,11,,5,5,10,,4,5,9,,5,9,14,,9,8,17,,20,13,33
Acquired deformities of fingers and toes (M20),0,0,0,,0,1,1,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other acquired deformities of limbs (M21),0,0,0,,1,1,2,,0,0,0,,0,1,1,,0,0,0,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Disorders of patella (M22),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Internal derangement of knee (M23),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other specific joint derangements (M24),0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,2,2,,0,1,1,,0,1,1,,0,0,0,,0,2,2,,1,0,1,,0,1,1
"Other joint disorders, not elsewhere classified (M25)",13,10,23,,6,7,13,,4,9,13,,7,8,15,,6,7,13,,1,7,8,,5,4,9,,4,5,9,,5,7,12,,8,8,16,,20,12,32
Systemic connective tissue disorders (M30-M36),79,168,247,,58,198,256,,75,173,248,,70,167,237,,62,187,249,,72,178,250,,67,175,242,,88,186,274,,69,189,258,,76,218,294,,74,183,257
Polyarteritis nodosa and related conditions (M30),4,4,8,,6,6,12,,8,0,8,,5,1,6,,3,2,5,,5,4,9,,4,8,12,,4,4,8,,6,11,17,,9,4,13,,6,5,11
Other necrotizing vasculopathies (M31),25,23,48,,23,30,53,,19,19,38,,21,23,44,,19,26,45,,22,25,47,,24,20,44,,31,20,51,,24,24,48,,22,26,48,,12,23,35
Systemic lupus erythematosus (M32),15,27,42,,8,36,44,,12,29,41,,9,36,45,,8,35,43,,8,38,46,,8,34,42,,10,33,43,,4,29,33,,7,54,61,,8,39,47
Dermatopolymyositis (M33),9,10,19,,3,10,13,,3,13,16,,4,7,11,,4,14,18,,3,7,10,,2,6,8,,10,11,21,,6,6,12,,7,9,16,,7,10,17
Systemic sclerosis (M34),19,75,94,,15,101,116,,21,89,110,,24,78,102,,18,88,106,,26,78,104,,22,86,108,,23,96,119,,21,81,102,,16,92,108,,29,82,111
Other systemic involvement of connective tissue (M35),7,29,36,,3,15,18,,12,23,35,,7,22,29,,10,22,32,,8,26,34,,7,21,28,,10,22,32,,8,38,46,,15,33,48,,12,24,36
Dorsopathies (M40-M54),28,44,72,,33,33,66,,28,51,79,,38,57,95,,37,58,95,,19,38,57,,33,36,69,,29,45,74,,41,49,90,,37,46,83,,38,59,97
Deforming dorsopathies (M40-M43),4,20,24,,5,14,19,,5,19,24,,8,26,34,,5,26,31,,3,14,17,,4,11,15,,8,17,25,,6,17,23,,7,19,26,,8,17,25
Kyphosis and lordosis (M40),0,6,6,,2,2,4,,1,4,5,,2,5,7,,0,5,5,,2,5,7,,2,4,6,,1,4,5,,1,6,7,,1,7,8,,4,2,6
Scoliosis (M41),3,14,17,,3,11,14,,3,15,18,,6,20,26,,5,18,23,,1,7,8,,2,7,9,,5,12,17,,2,10,12,,3,10,13,,4,13,17
Spinal osteochondrosis (M42),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0
